id,user_name,user_avatar,created_at,text,accuracy,communication,cleanliness,location,checkIn,value
1,Letizia,https://robohash.org/laboriosamnatusaspernatur.jpg?size=50x50&set=set1,12/29/2016,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",5,4,5,3,5,3
2,Tripp,https://robohash.org/ipsamvelitab.jpg?size=50x50&set=set1,10/14/2016,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,3,1,3,1,1
3,Rubetta,https://robohash.org/iustoaliquidsimilique.jpg?size=50x50&set=set1,02/08/2018,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",1,5,4,4,1,5
4,Arlan,https://robohash.org/minustemporibussoluta.jpg?size=50x50&set=set1,08/01/2016,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",1,4,2,5,3,1
5,Xymenes,https://robohash.org/etquamdolorem.jpg?size=50x50&set=set1,02/01/2016,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1,2,1,1,2,3
6,Blondy,https://robohash.org/beataeaccusamusfacere.jpg?size=50x50&set=set1,03/22/2016,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1,1,3,4,5,5
7,Jarrid,https://robohash.org/impeditquiaconsequatur.jpg?size=50x50&set=set1,10/17/2017,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",4,5,4,3,4,3
8,Renae,https://robohash.org/suntvitaeet.jpg?size=50x50&set=set1,06/28/2016,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",4,4,3,3,4,1
9,Amitie,https://robohash.org/aspernaturvoluptasprovident.jpg?size=50x50&set=set1,01/25/2018,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,4,1,5,5,4,1
10,Pebrook,https://robohash.org/voluptatibusquiin.jpg?size=50x50&set=set1,03/05/2018,Nulla facilisi.,1,5,3,3,5,2
11,Lucias,https://robohash.org/animicupiditatecum.jpg?size=50x50&set=set1,05/13/2017,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",2,3,4,1,1,2
12,Mara,https://robohash.org/recusandaeeiusplaceat.jpg?size=50x50&set=set1,05/27/2017,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",4,2,3,5,2,1
13,Gottfried,https://robohash.org/autaliquamet.jpg?size=50x50&set=set1,01/31/2017,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",5,1,3,4,4,1
14,Gilly,https://robohash.org/nihilquiesse.jpg?size=50x50&set=set1,01/19/2016,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,5,4,3,4,2,2
15,Fernandina,https://robohash.org/sedquaeratomnis.jpg?size=50x50&set=set1,10/09/2016,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2,4,1,4,4,3
16,Fredek,https://robohash.org/deseruntatquae.jpg?size=50x50&set=set1,05/29/2016,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3,4,2,2,4,1
17,Hammad,https://robohash.org/estvelomnis.jpg?size=50x50&set=set1,04/30/2017,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",5,5,2,3,4,4
18,Latashia,https://robohash.org/quiaexplicaboomnis.jpg?size=50x50&set=set1,12/03/2017,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",1,1,1,2,5,5
19,Dorthy,https://robohash.org/inmaiorescorporis.jpg?size=50x50&set=set1,12/27/2017,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",5,4,2,3,5,4
20,Briggs,https://robohash.org/sitfacilisqui.jpg?size=50x50&set=set1,05/01/2016,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",1,3,3,2,2,2
21,Myca,https://robohash.org/modieosmaxime.jpg?size=50x50&set=set1,11/07/2016,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,3,1,2,4,1
22,Honoria,https://robohash.org/nisiatquevel.jpg?size=50x50&set=set1,04/02/2017,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",1,1,3,4,2,1
23,Ddene,https://robohash.org/sapientelaboriosamvoluptatem.jpg?size=50x50&set=set1,08/01/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",3,3,4,1,1,5
24,Lauree,https://robohash.org/nonquodveniam.jpg?size=50x50&set=set1,06/05/2017,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",4,1,1,3,3,2
25,Alva,https://robohash.org/necessitatibussuntveritatis.jpg?size=50x50&set=set1,03/18/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,3,5,4,3,3,2
26,Doro,https://robohash.org/nonavitae.jpg?size=50x50&set=set1,09/11/2017,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2,5,1,3,1,2
27,Minor,https://robohash.org/quiadoloresautem.jpg?size=50x50&set=set1,01/27/2018,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",2,5,3,2,2,5
28,Meaghan,https://robohash.org/eligendidebitisad.jpg?size=50x50&set=set1,01/26/2016,"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",5,2,4,5,4,1
29,Nelly,https://robohash.org/quostemporaminima.jpg?size=50x50&set=set1,04/17/2016,Nulla mollis molestie lorem.,4,3,1,1,3,2
30,Carce,https://robohash.org/ullamminusrerum.jpg?size=50x50&set=set1,12/23/2017,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",5,2,2,1,1,3
31,Clemence,https://robohash.org/suscipitdoloresreprehenderit.jpg?size=50x50&set=set1,09/24/2016,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",4,5,1,2,1,1
32,Veda,https://robohash.org/quamexcepturiet.jpg?size=50x50&set=set1,09/18/2017,In hac habitasse platea dictumst.,4,2,1,3,3,3
33,Gard,https://robohash.org/voluptatesquisapiente.jpg?size=50x50&set=set1,02/01/2017,In congue. Etiam justo.,5,5,5,3,4,2
34,Katti,https://robohash.org/voluptatesoditdignissimos.jpg?size=50x50&set=set1,01/29/2016,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",4,3,3,4,2,5
35,Charmaine,https://robohash.org/verominusmagnam.jpg?size=50x50&set=set1,08/13/2016,Phasellus sit amet erat. Nulla tempus.,5,4,3,3,4,3
36,Rockwell,https://robohash.org/estquibusdamaut.jpg?size=50x50&set=set1,01/10/2018,Pellentesque eget nunc.,4,2,2,1,1,1
37,Torin,https://robohash.org/easitqui.jpg?size=50x50&set=set1,01/04/2018,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",5,2,2,2,4,5
38,Theadora,https://robohash.org/eosquiasint.jpg?size=50x50&set=set1,07/19/2016,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,5,1,4,3,4,2
39,Emily,https://robohash.org/utremconsequatur.jpg?size=50x50&set=set1,05/09/2016,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",5,3,5,2,2,5
40,Dorotea,https://robohash.org/veniameaalias.jpg?size=50x50&set=set1,03/09/2018,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",5,1,3,4,5,4
41,Alexandro,https://robohash.org/nonpariaturnemo.jpg?size=50x50&set=set1,06/03/2016,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4,2,4,5,5,5
42,Tiertza,https://robohash.org/temporeomnisvelit.jpg?size=50x50&set=set1,02/17/2016,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2,5,3,2,1,2
43,Harri,https://robohash.org/etnumquamvoluptas.jpg?size=50x50&set=set1,01/22/2016,Duis bibendum. Morbi non quam nec dui luctus rutrum.,5,5,1,4,3,1
44,Claudia,https://robohash.org/quisnontenetur.jpg?size=50x50&set=set1,09/14/2017,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",4,5,2,2,1,3
45,Kissie,https://robohash.org/praesentiumquasiodio.jpg?size=50x50&set=set1,07/12/2016,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,4,4,3,3,3,3
46,Jaye,https://robohash.org/voluptatemexercitationemex.jpg?size=50x50&set=set1,05/10/2017,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,5,1,1,1,5,1
47,Doe,https://robohash.org/accusamusquiavoluptatibus.jpg?size=50x50&set=set1,02/03/2018,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,4,4,5,3,3,5
48,Tucker,https://robohash.org/reiciendisbeataesed.jpg?size=50x50&set=set1,04/29/2016,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2,5,5,5,1,1
49,Lilia,https://robohash.org/hicquosunt.jpg?size=50x50&set=set1,01/19/2016,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",1,4,2,5,4,3
